Date/time,Home import (kW),Home export (kW),Solar gen. (kW),Diverted heater (kW),Diverted extra (kW),Heater (kW),Extra plug (kW),Off-Peak heater (kW),Off-Peak extra plug (kW),Average T (°C),SOC (%),
12:00AM,0.21,0,0,0,0,0,0,0,0,40,0,
12:15AM,0.58,0,0,0,0,0,0,0,0,39.96,0,
12:30AM,0.94,0,0,0,0,0,0,0,0,39.39,0,
12:45AM,1.56,0,0,0,0,0,0,0,0,39.17,0,
01:00AM,1.63,0,0,0,0,0,0,0,0,39.06,0,
01:15AM,1.27,0,0,0,0,0,0,0,0,39.05,0,
01:30AM,1.13,0,0,0,0,0,0,0,0,39.33,0,
01:45AM,5.07,0,0,0,0,0,0,0,0,39.07,0,
02:00AM,5.94,0,0,0,0,0,0,0,0,38.92,0,
02:15AM,5.72,0,0,0,0,0,0,0,0,38.97,0,
02:30AM,5.33,0,0,0,0,0,0,0,0,38.94,0,
02:45AM,0.48,0,0,0,0,0,0,0,0,38.9,0,
03:00AM,0,0,0,0,0,0,0,0,0,38.81,0,
03:15AM,0,0,0,0,0,0,0,0,0,39,0,
03:30AM,0,0,0,0,0,0,0,0,0,39,0,
03:45AM,0,0,0,0,0,0,0,0,0,39,0,
04:00AM,0,0,0,0,0,0,0,0,0,38.93,0,
04:15AM,0,0,0,0,0,0,0,0,0,38.67,0,
04:30AM,0,0,0,0,0,0,0,0,0,38.67,0,
04:45AM,0,0,0,0,0,0,0,0,0,38.67,0,
05:00AM,0,0,0,0,0,0,0,0,0,38.67,0,
05:15AM,0,0,0,0,0,0,0,0,0,38.44,0,
05:30AM,0,0,0,0,0,0,0,0,0,38.33,0,
05:45AM,0,0,0,0,0,0,0,0,0,38.19,0,
06:00AM,0,0,0,0,0,0,0,0,0,38,0,
06:15AM,0,0,0,0,0,0,0,0,0,38,0,
06:30AM,0,0,0,0,0,0,0,0,0,38,0,
06:45AM,0,0,0,0,0,0,0,0,0,38,0,
07:00AM,0,0,0,0,0,0,0,0,0,38,0,
07:15AM,0,0,0,0,0,0,0,0,0,38,0,
07:30AM,0,0,0,0,0,0,0,0,0,38,0,
07:45AM,0,0,0,0,0,0,0,0,0,38,0,
08:00AM,0.06,0,0,0,0,0,0,0,0,38,0,
08:15AM,0,0,0,0,0,0,0,0,0,37.79,0,
08:30AM,0,0,1.05,0.21,0,0.26,0,0,0,37.76,0,
08:45AM,0,0,1.61,0.27,0,0.36,0,0,0,38.3,0,
09:00AM,0,0,0.6,0,0,0,0,0,0,38.67,0,
09:15AM,0,0,0.62,0,0,0,0,0,0,38.48,0,
09:30AM,0,0,0.75,0,0,0,0,0,0,38.33,0,
09:45AM,0,0,1.24,0,0,0,0,0,0,38.33,0,
10:00AM,0,0,1.26,0,0,0,0,0,0,38.33,0,
10:15AM,0,0,1.09,0,0,0,0,0,0,38.13,0,
10:30AM,0,0,1.92,0,0,0,0,0,0,38,0,
10:45AM,0,0,3.25,0,0,0,0,0,0,38,0,
11:00AM,0,0,3.17,0,0,0,0,0,0,38,0,
11:15AM,0,0,2.63,0.2,0,0.28,0,0,0,38.12,0,
11:30AM,0,0,1.35,0,0,0,0,0,0,38.33,0,
11:45AM,0,0,3.26,0,0,0.09,0,0,0,38.33,0,
12:00PM,0,0,2.77,0,0,0,0,0,0,38.19,0,
12:15PM,0,0,1.56,0,0,0.24,0,0,0,38,0,
12:30PM,0,0,0.68,0,0,2.31,0,0,0,40.1,0,
12:45PM,0,0,0.82,0,0,2.87,0,0,0,45.79,0,
01:00PM,0,0,0.59,0,0,1.88,0,0,0,46.44,0,
01:15PM,0.08,0,0.36,0,0,0,0,0,0,45.16,0,
01:30PM,0,0,0.4,0.06,0,0.91,0,0,0,44.88,0,
01:45PM,0,0,0.54,0,0,2.91,0,0,0,48.1,0,
02:00PM,0,0,0.83,0.11,0,0.36,0,0,0,49.61,0,
02:15PM,0,0,1.34,0.33,0,0.55,0,0,0,48.35,0,
02:30PM,1.42,0,1.06,0,0,0,0,0,0,48.19,0,
02:45PM,4.34,0,1.2,0,0,0,0,0,0,48,0,
03:00PM,0,0,0,0,0,0,0,0,0,0,0,
03:15PM,0,0,0,0,0,0,0,0,0,0,0,
03:30PM,0,0,0,0,0,0,0,0,0,0,0,
03:45PM,0,0,0,0,0,0,0,0,0,0,0,
04:00PM,0,0,0,0,0,0,0,0,0,0,0,
04:15PM,0,0,0,0,0,0,0,0,0,0,0,
04:30PM,0,0,0,0,0,0,0,0,0,0,0,
04:45PM,0,0,0,0,0,0,0,0,0,0,0,
05:00PM,0,0,0,0,0,0,0,0,0,0,0,
05:15PM,0,0,0,0,0,0,0,0,0,0,0,
05:30PM,0,0,0,0,0,0,0,0,0,0,0,
05:45PM,0,0,0,0,0,0,0,0,0,0,0,
06:00PM,0,0,0,0,0,0,0,0,0,0,0,
06:15PM,0,0,0,0,0,0,0,0,0,0,0,
06:30PM,0,0,0,0,0,0,0,0,0,0,0,
